im_idx,image_id,category,stimulus,p_typicality,is_attn_check,presentation,block,trial,ISI,trigger_id
1,120,living_rooms,img_bbs77.png,2,0,1,1,1,1.1,32
151,151,Attention,img_nr8nj.png,0,1,1,1,2,1,50
2,150,living_rooms,img_zxvl3.png,5,0,1,1,3,1.1,35
3,59,kitchens,img_6nbgt.png,7,0,1,1,4,1.1,27
4,27,bedrooms,img_ic3os.png,9,0,1,1,5,0.9,19
5,96,kitchens,img_x9ml4.png,3,0,1,1,6,0.9,23
6,30,bedrooms,img_kzg3h.png,7,0,1,1,7,1.1,17
7,104,living_rooms,img_2qhro.png,8,0,1,1,8,1.1,38
8,139,living_rooms,img_s2zoe.png,5,0,1,1,9,1,35
9,12,bedrooms,img_a9acb.png,7,0,1,1,10,1,17
151,151,Attention,img_nr8nj.png,0,1,2,1,11,0.9,50
10,33,bedrooms,img_mdpr4.png,6,0,1,1,12,0.9,16
11,115,living_rooms,img_9wmp8.png,10,0,1,1,13,0.9,40
152,152,Attention,img_zvi2m.png,0,1,1,1,14,1,50
12,29,bedrooms,img_kljj4.png,4,0,1,1,15,1,14
13,18,bedrooms,img_d26ik.png,7,0,1,1,16,0.9,17
14,129,living_rooms,img_koooi.png,5,0,1,1,17,1,35
15,76,kitchens,img_g7870.png,4,0,1,1,18,1,24
16,16,bedrooms,img_c2pbs.png,1,0,1,1,19,1,11
17,35,bedrooms,img_n9xll.png,7,0,1,1,20,1,17
18,4,bedrooms,img_2dnfy.png,3,0,1,1,21,1,13
19,6,bedrooms,img_3h4c9.png,9,0,1,1,22,1,19
20,112,living_rooms,img_73pyk.png,5,0,1,1,23,1.1,35
21,41,bedrooms,img_rvssl.png,6,0,1,1,24,1,16
22,146,living_rooms,img_x9w7o.png,10,0,1,1,25,1,40
23,113,living_rooms,img_81nb0.png,1,0,1,1,26,1,31
24,74,kitchens,img_faly8.png,1,0,1,1,27,0.9,21
25,31,bedrooms,img_l1h36.png,1,0,1,1,28,1.1,11
26,102,living_rooms,img_0jzz7.png,9,0,1,1,29,1,39
27,142,living_rooms,img_vgh2g.png,10,0,1,1,30,1,40
28,56,kitchens,img_411xa.png,2,0,1,1,31,1.1,22
29,106,living_rooms,img_3ze38.png,2,0,1,1,32,0.9,32
30,132,living_rooms,img_njhlh.png,4,0,1,1,33,1.1,34
31,78,kitchens,img_j5rpx.png,5,0,1,1,34,1.1,25
32,54,kitchens,img_1r2ri.png,3,0,1,1,35,1.1,23
33,128,living_rooms,img_iudc4.png,6,0,1,1,36,1.1,36
34,55,kitchens,img_3gm8h.png,4,0,1,1,37,1,24
35,47,bedrooms,img_x50f8.png,10,0,1,1,38,0.9,20
36,75,kitchens,img_fhm45.png,7,0,1,1,39,1,27
37,72,kitchens,img_es7o2.png,2,0,1,1,40,0.9,22
38,130,living_rooms,img_mdh76.png,2,0,1,1,41,1,32
39,86,kitchens,img_qihxi.png,7,0,1,1,42,0.9,27
40,122,living_rooms,img_c0vzo.png,1,0,1,1,43,1.1,31
41,134,living_rooms,img_of8d6.png,1,0,1,1,44,1,31
151,151,Attention,img_nr8nj.png,0,1,3,1,45,1,50
42,19,bedrooms,img_d9ogj.png,6,0,1,1,46,0.9,16
43,8,bedrooms,img_49h18.png,3,0,1,1,47,1,13
44,124,living_rooms,img_eiu3c.png,5,0,1,1,48,1.1,35
45,15,bedrooms,img_bntrh.png,6,0,1,1,49,0.9,16
46,10,bedrooms,img_65cdi.png,2,0,1,1,50,1,12
47,48,bedrooms,img_ycgfe.png,9,0,1,1,51,1.1,19
48,80,kitchens,img_mawe6.png,9,0,1,1,52,0.9,29
49,131,living_rooms,img_nb8p4.png,1,0,1,1,53,1.1,31
50,95,kitchens,img_v176l.png,1,0,1,1,54,1,21
51,20,bedrooms,img_dmjh8.png,3,0,1,1,55,0.9,13
52,67,kitchens,img_cxpff.png,6,0,1,1,56,1.1,26
53,125,living_rooms,img_hc49v.png,6,0,1,1,57,0.9,36
151,151,Attention,img_nr8nj.png,0,1,4,1,58,0.9,50
54,111,living_rooms,img_6zz63.png,9,0,1,1,59,1,39
55,73,kitchens,img_esb4r.png,3,0,1,1,60,0.9,23
56,24,bedrooms,img_gqy6z.png,9,0,1,1,61,1,19
57,135,living_rooms,img_pjfx6.png,2,0,1,1,62,1,32
58,138,living_rooms,img_ra2nm.png,6,0,1,1,63,1,36
59,22,bedrooms,img_f4jxo.png,8,0,1,1,64,0.9,18
60,69,kitchens,img_d8xbu.png,10,0,1,1,65,1,30
61,126,living_rooms,img_hmmra.png,3,0,1,1,66,0.9,33
62,118,living_rooms,img_astid.png,2,0,1,1,67,0.9,32
153,153,Attention,img_0kqc0.png,0,1,1,1,68,1,50
63,37,bedrooms,img_ose78.png,8,0,1,1,69,0.9,18
64,43,bedrooms,img_twj5p.png,4,0,1,1,70,0.9,14
65,119,living_rooms,img_b17ma.png,1,0,1,1,71,1,31
66,26,bedrooms,img_h13c3.png,5,0,1,1,72,1,15
67,66,kitchens,img_cv6mf.png,4,0,1,1,73,0.9,24
