category,stimulus,conceptual,perceptual,rt,n,typicality,p_typicality,p_conceptual,p_perceptual
kitchens,stimuli/kitchen/img_7w5tw.png,53.2258064516129,28.90322580645161,14500.8064516129,31,41.06451612903226,2,2,2
kitchens,stimuli/kitchen/img_91lbx.png,63.97058823529412,38.8235294117647,5729.64705882353,34,51.39705882352941,3,3,3
kitchens,stimuli/kitchen/img_esb4r.png,60.73529411764706,38.58823529411764,7318.941176470588,34,49.66176470588235,3,3,3
kitchens,stimuli/kitchen/img_0j24m.png,63.6969696969697,35.75757575757576,7864.30303030303,33,49.72727272727273,3,3,3
kitchens,stimuli/kitchen/img_1r2ri.png,62.44117647058823,40.76470588235294,10796.11764705882,34,51.60294117647059,3,3,3
kitchens,stimuli/kitchen/img_x9ml4.png,58.71428571428572,38.46428571428572,7793.071428571428,28,48.58928571428572,3,3,3
kitchens,stimuli/kitchen/img_d0k76.png,67.0909090909091,46.3030303030303,11352.18181818182,33,56.6969696969697,4,4,4
kitchens,stimuli/kitchen/img_c0me7.png,68.4,45.62857142857143,8412.4,35,57.01428571428572,4,4,4
kitchens,stimuli/kitchen/img_g7870.png,68.70967741935483,44.2258064516129,7982.516129032259,31,56.46774193548387,4,4,4
kitchens,stimuli/kitchen/img_cv6mf.png,66.8,42.08,7469.24,25,54.44,4,4,4
kitchens,stimuli/kitchen/img_anjr0.png,67.88888888888889,45.80555555555556,6134.5,36,56.84722222222222,4,4,4
kitchens,stimuli/kitchen/img_q1ynd.png,70.05714285714286,47.31428571428572,6687.514285714286,35,58.68571428571429,5,5,5
kitchens,stimuli/kitchen/img_z5osu.png,71.42857142857143,47.34285714285714,12875.48571428571,35,59.38571428571429,5,5,5
kitchens,stimuli/kitchen/img_inqod.png,70.84848484848484,50.63636363636363,7284.727272727273,33,60.74242424242424,5,5,5
kitchens,stimuli/kitchen/img_xesl0.png,69.28571428571429,47.35714285714285,6011.071428571428,28,58.32142857142857,5,5,5
